schema_version,experiment,target_boundary,repetition,first_condition,keep_case_id,evict_case_id,input_sha256,input_hash_match,build_signature_match,output_hash_match,pool_occupancy_match,keep_actual_replay_tokens,evict_actual_replay_tokens,replay_delta_tokens,keep_recovery_latency_ms,evict_recovery_latency_ms,paired_recovery_delta_ms,keep_request_e2e_ms,evict_request_e2e_ms,paired_e2e_delta_ms,delta_ms_per_replay_token,wp2_predicted_delta_ms,prediction_error_ms,prediction_ratio,pair_valid,invalid_reason
flowstate.wp3a.direct_eviction.paired.v1,FORK_PARENT,FORK_PARENT@32768,0,retained,formal_r00_o00_fork_retained,formal_r00_o01_fork_evicted,02d830586061c4e12f4fe4b3d0968caa0bfef40a1776dfbf82a054f4274bfb45,1,1,1,1,0,32768,32768,38.33172703161836,1506.9975210353732,1468.6657940037549,38.33437501452863,1507.001849124208,1468.6674741096795,0.044820123108024745,1504.4739072,-35.80811319624513,0.9761989137698718,1,
flowstate.wp3a.direct_eviction.paired.v1,FORK_PARENT,FORK_PARENT@32768,1,evicted,formal_r01_o01_fork_retained,formal_r01_o00_fork_evicted,4d649efc0eaab0454bbbdba34798814ca320bf5772fd6e7e0f05794cd27b0726,1,1,1,1,0,32768,32768,38.23167784139514,1507.858210010454,1469.626532169059,38.23455795645714,1507.8624500893056,1469.6278921328485,0.04484944251004208,1504.4739072,-34.847375030941066,0.9768375012260624,1,
flowstate.wp3a.direct_eviction.paired.v1,FORK_PARENT,FORK_PARENT@32768,2,evicted,formal_r02_o03_fork_retained,formal_r02_o02_fork_evicted,024615331b3bd729be9bef5c0908d1119b3f7491414645faebe113b0d4d4706a,1,1,1,1,0,32768,32768,37.708360934630036,1503.390050958842,1465.681690024212,37.71152696572244,1503.3944689203054,1465.682941954583,0.04472905548169592,1504.4739072,-38.79221717578798,0.9742154270737837,1,
flowstate.wp3a.direct_eviction.paired.v1,FORK_PARENT,FORK_PARENT@32768,3,retained,formal_r03_o02_fork_retained,formal_r03_o03_fork_evicted,798157d6537a9064ee138a5b4a8052bfa6e5ff970a388d9b993b4506c807dd96,1,1,1,1,0,32768,32768,39.59520603530109,1518.451761920005,1478.856555884704,39.59797788411379,1518.455961951986,1478.8579840678722,0.04513112047987988,1504.4739072,-25.61735131529599,0.9829725519381238,1,
flowstate.wp3a.direct_eviction.paired.v1,FORK_PARENT,FORK_PARENT@32768,4,evicted,formal_r04_o03_fork_retained,formal_r04_o00_fork_evicted,2637063775a1a9af9f32b33ce8ea7908d0283f9f5231f84e8af8f5130dc48d78,1,1,1,1,0,32768,32768,38.64707890897989,1519.557761028409,1480.910682119429,38.65110594779253,1519.5624991320074,1480.9113931842148,0.04519380743772672,1504.4739072,-23.563225080570874,0.9843378971427794,1,
flowstate.wp3a.direct_eviction.paired.v1,NORMAL_CONTROL,NORMAL_A@32832,0,retained,formal_r00_o02_normal_retained,formal_r00_o03_normal_evicted,f1d13ee45467cf03d575a433842984ae8258efde4cc1ed17157f30826373825c,1,1,1,1,1,1,0,40.426233084872365,39.32989598251879,-1.0963371023535728,40.429361164569855,39.33671419508755,-1.0926469694823027,,0.0,-1.0963371023535728,,1,
flowstate.wp3a.direct_eviction.paired.v1,NORMAL_CONTROL,NORMAL_A@32832,1,evicted,formal_r01_o03_normal_retained,formal_r01_o02_normal_evicted,94aa61db771d3f6603b883d6fb4199d0ad0ce0e2b48e0660a96cf692366952d1,1,1,1,1,1,1,0,40.32356105744839,39.37233495526016,-0.9512261021882296,40.32835201360285,39.37583300285041,-0.9525190107524395,,0.0,-0.9512261021882296,,1,
flowstate.wp3a.direct_eviction.paired.v1,NORMAL_CONTROL,NORMAL_A@32832,2,retained,formal_r02_o00_normal_retained,formal_r02_o01_normal_evicted,b365668a724cb9b87a0f9a4ebd0e5cdc2fac90943f19209539bdd3639244fdfd,1,1,1,1,1,1,0,38.59178000129759,38.13098603859544,-0.4607939627021551,38.594919024035335,38.13394997268915,-0.4609690513461828,,0.0,-0.4607939627021551,,1,
flowstate.wp3a.direct_eviction.paired.v1,NORMAL_CONTROL,NORMAL_A@32832,3,evicted,formal_r03_o01_normal_retained,formal_r03_o00_normal_evicted,28c3e6ca5d0a660bb232d5871aa3cfba9fa7e7349230f5f386cb992233752d19,1,1,1,1,1,1,0,40.31820013187826,40.070238057523966,-0.24796207435429096,40.32133799046278,40.07356008514762,-0.24777790531516075,,0.0,-0.24796207435429096,,1,
flowstate.wp3a.direct_eviction.paired.v1,NORMAL_CONTROL,NORMAL_A@32832,4,retained,formal_r04_o01_normal_retained,formal_r04_o02_normal_evicted,fda5a4ec3bd7267f62cd3fb98bd7aa70b1c71b526f1a2411bbbc1098203e79cc,1,1,1,1,1,1,0,39.495420176535845,38.90183288604021,-0.5935872904956341,39.50014803558588,38.90689089894295,-0.5932571366429329,,0.0,-0.5935872904956341,,1,
